salto,anoOrigen,anoDestino,persona,nombre,dep,municipio,origen,partidoOrigen,partidoDestino,mismoPartido,votosOrigen,votosDestino,gap,votosDestinoAmbito,votosDestinoEnOrigen,arraigo,neutro,neutroFuente,lift
concejo>asamblea,2011,2015,JOSE SANTOS CASTRO GONZALEZ,JOSE SANTOS CASTRO GONZALEZ,12,12-001,12-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,2139,16185,7.5666,16185,7955,0.4915,,,
concejo>asamblea,2011,2015,JAVIER SILVA LARA,JAVIER SILVA LARA,19,19-001,19-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,1867,12132,6.4981,12132,6963,0.5739,,,
concejo>asamblea,2011,2015,IGNACIO ALBERTO GOMEZ ALZATE,IGNACIO ALBERTO GOMEZ ALZATE,09,09-001,09-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,1865,8666,4.6466,8666,4693,0.5415,,,
concejo>asamblea,2011,2015,OSCAR ALONSO VARGAS JARAMILLO,OSCAR ALONSO VARGAS JARAMILLO,09,09-001,09-001,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,1864,10517,5.6422,10517,5874,0.5585,,,
concejo>asamblea,2011,2015,JOSE DURGUES ESPINOSA MARTINEZ,JOSE DURGUES ESPINOSA MARTINEZ,24,24-001,24-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CENTRO DEMOCRÁTICO,false,1852,5125,2.7673,5125,2594,0.5061,,,
concejo>asamblea,2011,2015,OCTAVIO ALEXANDER AGUDELO,OCTAVIO ALEXANDER AGUDELO,26,26-001,26-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,1835,5792,3.1564,5792,2612,0.451,,,
concejo>asamblea,2011,2015,ARLEY OCTAVIO VALERO SAENZ,ARLEY OCTAVIO VALERO SAENZ,27,27-160,27-160,PARTIDO DE INTEGRACION NACIONAL,PARTIDO OPCIÓN CIUDADANA,false,1774,12066,6.8016,12066,7370,0.6108,,,
concejo>asamblea,2011,2015,RAMON ALBERTO CAMPO GONZALEZ,RAMON ALBERTO CAMPO GONZALEZ,21,21-001,21-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,1747,5385,3.0824,5385,3010,0.559,,,
concejo>asamblea,2011,2015,JOHN JAIRO CAICEDO VILLEGAS,JOHN JAIRO CAICEDO VILLEGAS,31,31-106,31-106,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,1710,24127,14.1094,24127,9222,0.3822,,,
concejo>asamblea,2011,2015,JOSE FERNANDO MEJIA CASTANO,JOSE FERNANDO MEJIA CASTANO,09,09-001,09-001,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,1643,8518,5.1844,8518,3178,0.3731,,,
concejo>asamblea,2011,2015,JOSE MANUEL SANDOVAL GARZON,JOSE MANUEL SANDOVAL GARZON,52,52-001,52-001,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,true,1609,9999,6.2144,9999,6224,0.6225,,,
concejo>asamblea,2011,2015,NORALDO MONTES DIAZ,NORALDO MONTES DIAZ,13,13-037,13-037,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,1569,14828,9.4506,14828,4272,0.2881,,,
concejo>asamblea,2011,2015,CLARA INES VEGA PEREZ,CLARA INES VEGA PEREZ,19,19-001,19-001,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,1554,11230,7.2265,11230,5895,0.5249,,,
concejo>asamblea,2011,2015,JOSE MARIO RODRIGUEZ BARRIGA,JOSE MARIO RODRIGUEZ BARRIGA,12,12-001,12-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,1435,14994,10.4488,14994,5822,0.3883,,,
concejo>asamblea,2011,2015,JHON JAIRO RAMIREZ CANO,JHON JAIRO RAMIREZ CANO,01,01-001,01-001,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,1406,1623,1.1543,1623,787,0.4849,,,
concejo>asamblea,2011,2015,JOSE HUGO RESTAN SANCHEZ,JOSE HUGO RESTAN SANCHEZ,13,13-037,13-037,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,1401,28711,20.4932,28711,15831,0.5514,,,
concejo>asamblea,2011,2015,LUIS CARLOS BERROCAL HERNANDEZ,LUIS CARLOS BERROCAL HERNANDEZ,13,13-001,13-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,false,1396,3928,2.8138,3928,1713,0.4361,,,
concejo>asamblea,2011,2015,VICENTE ANIBAL OJEDA MARTINEZ,VICENTE ANIBAL OJEDA MARTINEZ,07,07-001,07-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,1379,5844,4.2379,5844,2244,0.384,,,
concejo>asamblea,2011,2015,FREDDY VALENCIA CARDONA,FREDDY VALENCIA CARDONA,26,26-001,26-001,PARTIDO DE INTEGRACION NACIONAL,PARTIDO LIBERAL COLOMBIANO,false,1369,7122,5.2023,7122,5328,0.7481,,,
concejo>asamblea,2011,2015,OSCAR HUMBERTO URUENA MEDINA,OSCAR HUMBERTO URUENA MEDINA,19,19-001,19-001,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,1366,10104,7.3968,10104,6336,0.6271,,,
concejo>asamblea,2011,2015,JACQUELINE FERNANDES PELAEZ,JACQUELINE FERNANDES PELAEZ,24,24-001,24-001,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,1357,1212,0.8931,1212,738,0.6089,,,
concejo>asamblea,2011,2015,ALVARO ALONSO VILLADA GARCIA,ALVARO ALONSO VILLADA GARCIA,01,01-001,01-001,FIRMES POR EL RESCATE DE MEDELLIN,PARTIDO DE LA U,false,1345,11477,8.5331,11477,2608,0.2272,,,
concejo>asamblea,2011,2015,OSCAR ORLANDO BEJARANO HERRERA,OSCAR ORLANDO BEJARANO HERRERA,52,52-001,52-001,PARTIDO DE INTEGRACION NACIONAL,PARTIDO CENTRO DEMOCRÁTICO,false,1325,6714,5.0672,6714,4270,0.636,,,
concejo>asamblea,2011,2015,LIFAN MAURICIO CAMACHO MOLANO,LIFAN MAURICIO CAMACHO MOLANO,07,07-001,07-001,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,1319,15744,11.9363,15744,3895,0.2474,,,
