NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION NO SITIOS,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR,LATITUD,LONGITUD
Gobernación de Santander,Bucaramanga,Santander,Gobernación de Santander,"Alimentos no perecederos, colchonetas, frazadas, agua, comida para mascotas",8:00,17:00,L-V,NO,SIN DATO,SIN DATO,agosto 14,ENTIDAD PUBLICA,7.116195,-73.12975
Sede Pacto Histórico,Bogotá,Bogotá D.C.,Carrera 17a #37-29,"Colchonetas, frazadas, agua, picas, palas, materiales de construcción",7:00,19:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,PARTIDO POLITICO,4.626462,-74.071942
Sede Colombia Humana,Bogotá,Bogotá D.C.,Transversal 17a bis #36.74,"Colchonetas, frazadas, agua, picas, palas, materiales de construcción",7:00,19:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,PARTIDO POLITICO,,
Universidad Jorge Tadeo Lozano,Bogotá,Bogotá D.C.,Carrera 4 #23 - 46,"Kits de hábitat:Cobijas sencillas, Juegos de sábanas, Colchonetas sencillas, Almohadas, Toldillos Elementos de higiene personal: Cepillos de dientes para adultos y niños, Crema dental, Jabón de baño y para lavar ropa, Toallas higiénicas, Papel higiénico, Protector solar, Pañales desechables, Máquinas de afeitar.",8:00,20:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,UNIVERSIDAD,4.606942,-74.067926
Estadio el Campín,Bogotá,Bogotá D.C.,Avenida Carrera 30 #53b-26,"Cobijas sencillas, Juegos de sábanas, Colchonetas sencillas, Almohadas, Toldillos Elementos de higiene personal: Cepillos de dientes para adultos y niños, Crema dental, Jabón de baño y para lavar ropa, Toallas higiénicas, Papel higiénico, Protector solar, Pañales desechables, Máquinas de afeitar.",8:00,20:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,ENTIDAD PUBLICA,4.64595,-74.077605
Centro Comercial Unicentro,Bogotá,Bogotá D.C.,Carrera 15 # 124-30,"Cobijas sencillas, Juegos de sábanas, Colchonetas sencillas, Almohadas, Toldillos Elementos de higiene personal: Cepillos de dientes para adultos y niños, Crema dental, Jabón de baño y para lavar ropa, Toallas higiénicas, Papel higiénico, Protector solar, Pañales desechables, Máquinas de afeitar.",8:00,20:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL,4.702752,-74.042681
Centro Limonar del Patio,Fusagasugá,Cundinamarca,Calle8b #3 41,"Cascos,Guantes de Carnaza, Tapabocas, Gafas de Seguridad, Botas, picos, palas, alimentos no perecederos, cintas de señalización, cobijas, juegos de sábanas, colchonetas, alimentos no perecederos",14:00,18:00,JUEVES Y VIERNES,NO,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL,,
Empresa de Licores Cundinamarca,Siberia,Cundinamarca,"Autopista Medellín, km 3,8, vía Siberia–Cota","Cascos,Guantes de Carnaza, Tapabocas, Gafas de Seguridad, Botas, picos, palas, alimentos no perecederos, cintas de señalización, cobijas, juegos de sábanas, colchonetas, alimentos no perecederos",7:30,16:00,L-V,NO,SIN DATO,SIN DATO,agosto 14,PRIVADO,,
Alcaldia de Chía,Chía ,Cundinamarca,Carrera 9 # 11 - 24,"Cobijas sencillas, Juegos de sábanas, Colchonetas sencillas, Almohadas, Toldillos Elementos de higiene personal: Cepillos de dientes para adultos y niños, Crema dental, Jabón de baño y para lavar ropa, Toallas higiénicas, Papel higiénico, Protector solar, Pañales desechables, Máquinas de afeitar.",,,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,ENTIDAD PUBLICA,4.86143,-74.060823
122 PLAZA APARTAHOTEL,Bogotá,Bogotá D.C.,Carrera 15 a # 122-27,Reciben 24h · Agua · leche de fórmula para bebés · Granos · Desechables · Compotas no de vidrio · Pañales para niños · Pañales para adultos · Shampoo · Deshodorabte · Harinas · Pasta · Enlatados ·…,9:00 AM,9:00 PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,PRIVADO,4.701202,-74.043812
AFNEMO,Bogotá,Bogotá D.C.,Carrera 11 # 18a-28 Sur. B. Ciudad Jardín Bogotá Reserva,SIN DATO,SIN DATO,Desde las 3pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,,
ALCALDÍA LOCAL CHAPINERO,Bogotá,Bogotá D.C.,Kr 13 #54-74,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,ENTIDAD PUBLICA,4.642083,-74.064872
ALQUERÍA CENTRO DE ACOPIO TROPICANA,Bogotá,Bogotá D.C.,Calle 38a sur #52-37,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3203112774,agosto 14,PRIVADO,4.601223,-74.130931
Ávila Gourmet - CEDRITOS,Bogotá,Bogotá D.C.,CR 17 # 141 - 05,SIN DATO,9:00 AM,4:00 PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.723006,-74.043763
C.C GRAN PLAZA - BOSA,Bogotá,Bogotá D.C.,Cl. 65 Sur #78H -51,SIN DATO,SIN DATO,hasta las 8:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL,4.605002,-74.183788
