zz,pp,censo,n_mesas,cam_turnout,briceno,uscategui,cote,mosquera,lorduy,gordillo,juvinao,toro,bleidy,borda,pacto_list,cd,verde,liberal,salvacion,sen_pacto,sen_cd,sen_alianza,sen_ahora,sen_salvacion,sen_liberal,pres_turnout,cepeda,abelardo,m_cam,m_pres
01,39,3002,9,1346,39,7,7,16,4,7,7,11,9,11,553,177,75,39,49,550,167,137,75,52,78,2860,1547,826,9,12
01,40,3993,12,2877,459,59,22,17,25,5,80,21,18,72,474,924,287,95,239,460,788,375,255,285,145,3789,894,1829,12,13
01,41,4664,14,3349,929,106,16,21,28,16,87,51,12,71,234,1687,258,91,228,220,1671,339,255,277,144,3505,318,2103,14,12
01,42,6392,20,4971,1337,128,29,34,61,17,157,67,15,114,382,2470,455,90,325,388,2348,564,431,450,183,7514,887,4269,20,24
01,43,6493,20,4490,1015,126,26,24,40,25,138,86,13,106,534,1915,449,102,352,503,1734,607,348,444,229,4853,781,2614,20,17
01,44,3059,10,2083,349,33,21,17,23,7,55,26,12,32,363,669,179,60,149,341,598,253,231,189,120,2916,746,1417,10,10
01,45,3586,11,2449,410,39,18,14,19,5,49,28,16,75,335,836,229,90,213,330,765,324,181,288,145,2720,554,1408,11,10
01,46,8403,26,6190,1431,168,44,42,61,17,142,104,21,160,666,2760,529,146,489,652,2595,636,566,600,259,7748,1124,4352,26,26
01,47,3243,10,2230,378,46,17,13,14,10,56,26,9,49,399,771,207,62,185,376,747,263,180,207,101,3773,905,1849,10,13
01,48,9222,28,6203,1506,201,38,36,57,17,171,89,27,127,586,2864,526,149,443,571,2692,669,492,592,288,6747,921,3822,28,24
01,49,762,3,495,69,8,5,10,4,3,4,9,0,10,106,140,33,17,29,107,128,75,31,39,26,825,270,348,3,3
01,50,1217,4,734,67,9,0,10,4,2,9,6,5,24,194,170,60,23,51,194,140,92,83,54,39,1442,467,624,4,5
01,51,1204,4,746,68,12,8,15,4,2,9,4,2,15,201,170,46,18,38,211,151,61,79,50,49,1499,553,628,4,6
01,52,1494,5,1009,80,19,13,9,9,3,16,16,5,21,278,223,82,22,78,267,207,113,117,84,51,2295,846,934,5,8
01,53,3281,10,2364,364,28,11,24,22,19,45,15,14,75,454,729,187,54,236,417,647,286,188,262,123,4115,1028,1936,10,14
01,54,1767,6,731,40,8,7,23,3,7,7,3,23,12,217,135,37,48,46,217,131,75,53,36,89,1088,474,364,6,5
01,55,566,2,245,2,1,3,1,0,2,1,2,27,0,92,27,13,41,3,100,28,19,8,5,57,580,282,186,2,3
01,56,715,3,323,3,1,2,0,0,3,2,0,80,6,92,20,7,104,18,99,25,16,16,15,105,565,280,175,3,3
